mr,ref
"confirm(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], has_mac_release[yes])","Do you mean Tomb Raider: The Angel of Darkness, the T rated Mac game?"
"confirm(name[Need for Speed: The Run], platforms[Nintendo])","You mean the Need for Speed: The Run on Nintendo, correct?"
"confirm(name[Might & Magic: Heroes VI], player_perspective[bird view], platforms[PC])","Is this the Might & Magic: Heroes VI with a bird's eye view, released for the PC?"
"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","You mean Tony Hawk's Pro Skater 3, the PC game that isn't available on Steam?"
"confirm(name[FIFA 12], developer[EA Canada], genres[simulation, sport])","Ooooh, you mean FIFA 12, that simulation sports game from EA Canada, right?"
"confirm(name[Need for Speed: The Run], release_year[2011])",Are you speaking of the Need for Speed: The Run that came out in 2011?
"confirm(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], available_on_steam[yes])",Were you referring to the Might & Magic: Heroes VI that is available on Steam and developed by Black Hole Entertainment?
"confirm(name[Layers of Fear], developer[Bloober Team], player_perspective[first person])",Do you mean the first person Layers of Fear game that was developed by the Bloober Team?
"confirm(name[Shadow of the Tomb Raider], genres[adventure, shooter], player_perspective[third person])","When you refer to Shadow of the Tomb Raider, do you mean the one that's a third person adventure shooter?"
"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])","Are you referring to Layers of Fear, the first person indie point-and-click adventure game?"
"confirm(name[Football Manager 2015], release_year[2014], has_multiplayer[yes])","Is that the multiplayer game from 2014, Football Manager 2015?"
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], has_multiplayer[yes])",Is the Anthem you're talking about the one that's a multiplayer action-adventure shooter RPG?
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], player_perspective[third person])",Is the Anthem you're talking about the third person action-adventure shooter RPG?
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], player_perspective[bird view], platforms[PC])",Is the Heroes of Might and Magic III: The Restoration of Erathia you're talking about the one with the bird view perspective that's for the PC?
"confirm(name[Ori and the Blind Forest], esrb[E (for Everyone)])","By Ori and the Blind Forest, do you mean the one with an E rating?"
"confirm(name[Mafia], release_year[2002], developer[Illusion Softworks])","When you talk about Mafia, do you mean the 2002 game that was developed by Illusion Softworks?"
"confirm(name[The Elder Scrolls Online], release_year[2014], platforms[PC])","The Elder Scrolls Online which was released on PC in 2014, correct?"
"confirm(name[Superhot], release_year[2016], platforms[PlayStation])","Are you taking about the 2016 PlayStation game, Superhot?"
"confirm(name[Football Manager 2015], release_year[2014], genres[simulation, sport, strategy])",Is the Football Manager 2015 that you just mentioned the one that was released in 2014 and is a strategy sport simulator?
"confirm(name[Layers of Fear], release_year[2015], developer[Bloober Team])",Do you mean the Layers of Fear game that the Bloober Team released back in 2015?
"confirm(name[Anthem], has_multiplayer[yes], platforms[PlayStation])",Is that Anthem that you can play on PlayStation with multiplayer?
"confirm(name[Horizon: Zero Dawn], release_year[2017])",Are you talking about Horizon: Zero Dawn from 2017?
"confirm(name[Silent Hill 2], genres[action-adventure, puzzle], platforms[Xbox])",Is this Silent Hill 2 you mentioned the action-adventure puzzle game that got released for the Xbox?
"confirm(name[NBA 2K19], exp_release_date[September 11, 2018])","You mean the NBA 2K19 slated for release on September 11, 2018, right?"
"confirm(name[Might & Magic: Heroes VI], release_year[2011], platforms[PC])","You're talking about the 2011 PC game Might & Magic: Heroes VI, is that correct?"
"confirm(name[The Room], available_on_steam[yes])",Are you talking about The Room that you can get on Steam?
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], developer[Loki Software], has_multiplayer[yes])",Are you talking about Heroes of Might and Magic III: The Restoration of Erathia developed by Loki Software that has multiplayer?
"confirm(name[Tomb Raider: The Angel of Darkness], developer[Core Design], available_on_steam[yes])","Do you mean Core Design's Tomb Raider: The Angel of Darkness, available on Steam?"
